Brand,Price,Rating,Ratings Count,Condition,Seller Note,Processor,Screen Size,Manufacturer Color,Color,Ram Size,SSD Capacity,GPU,Processor Speed,Type,Release Year,Maximum Resolution,Model,OS,Features,Hard Drive Capacity,Country Region Of Manufacture,Storage Type,,,,,,
ChiMei INNOLUX,$70.03 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,Does not apply,Does not apply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
NA,$52.85 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
NA,$197.22 ,NA,NA,"Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,NA,NA,NA,Intel GMA 950,NA,Ordinateur portable/Pc portable,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
NA,$411.59 ,NA,NA,"Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,Negro,NA,NA,Gráficos Intel HD 4400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
Dell,$362.43 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,Intel Core i5 4th generation,"14""",NA,NA,NA,240GB,Intel HD Graphics 4400,2.60 GHz,Notebook/Laptop,NA,HD,E5440,Windows 11 Pro,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",NO,NA,NA,,,NA,NA,NA,NA
Dell,$179.99 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,i5-6300 2.4 GHz,14 in,NA,Black,8 GB,256 GB,NA,2.40 GHz,Notebook/Laptop,NA,NA,Dell Latitude 5480,Windows 10,Bluetooth,SSD,NA,SSD (Solid State Drive),,,NA,NA,NA,NA
NA,$58.61 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
NA,$309.91 ,NA,NA,"Good - Refurbished: The item shows moderate wear and is backed by a one year warranty. It is fully ...  Read moreabout the conditionGood - Refurbished: The item shows moderate wear and is backed by a one year warranty. It is fully functional and has been professionally refurbished, inspected and cleaned to good condition by qualified sellers. The item includes original or new accessories and will come in a new generic packaging. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,NA,NA,NA,Intel HD Graphics 620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
NA,$119.08 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
NA,$126.24 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
NA,$21.70 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
Toshiba,$100.37 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,Does not apply,Does not apply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
Samsung,$141.94 ,NA,NA,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...  Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. See all condition definitionsopens in a new window or tab ",NA,Does not apply,Does not apply,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
Lenovo,$567.27 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,Intel Celeron,"15,6""",NA,NA,NA,240GB,Intel HD Graphics 510,1.60GHz,Notebook/Laptop,NA,HD,L560,Windows 10 pros,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth",NO,NA,SSD,,,NA,NA,NA,NA
NA,$13.02 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
Dell,$482.90 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,Intel Core i5 2nd generation,"15,6""",NA,NA,NA,120GB,Intel HD Graphics 3000,NA,Laptop,NA,HD,E6520,Windows 10 Pros,NA,NO,NA,NA,,,NA,NA,NA,NA
Fujitsu Siemens,$431.86 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,Intel Core i3 4th generation,"13, 3""",NA,Black,NA,120GB,Intel HD Graphics 4600,2.00-3.00GHz,Notebook/Laptop,NA,HD,E734,Windows 10 pros,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth",NO,NA,SSD,,,NA,NA,NA,NA
NA,$489.83 ,NA,NA,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...  Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,NA,NA,NA,Carte graphique Intel HD 620,NA,Ordinateur portable/Pc portable,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
NA,$8.68 ,NA,NA,"UsedAn item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. See all condition definitionsopens in a new window or tab","“GRADO-------A  ---------prima di acquistare leggere attentamente classificazione,caratteristiche ...  Read moreabout the seller notes“GRADO-------A  ---------prima di acquistare leggere attentamente classificazione,caratteristiche condizioni cerchiamo di fornire piu informazioni possibili per paragonare i gradi degli oggetti in modo che possiate identificare il più possibile quello che state acquistandogli oggetti non comprendono caricatore,scatola o accessori almeno che non specificato” Read Lessabout the seller notes ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
NA,"$1,143.79 ",NA,NA,"Seller refurbished: The item has been restored to working order by the eBay seller or a third party. ...  Read moreabout the conditionSeller refurbished: The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller’s listing for full details. See all condition definitionsopens in a new window or tab ",NA,NA,NA,NA,NA,NA,NA,Intel HD Graphics 620,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA
